Date,Category,Value
2023-01-01,A,0.5701967704178796
2023-01-02,D,0.43860151346232035
2023-01-03,B,0.9883738380592262
2023-01-04,A,0.10204481074802807
2023-01-05,D,0.2088767560948347
2023-01-06,D,0.16130951788499626
2023-01-07,D,0.6531083254653984
2023-01-08,D,0.2532916025397821
2023-01-09,B,0.4663107728563063
2023-01-10,D,0.24442559200160274
2023-01-11,B,0.15896958364551972
2023-01-12,C,0.11037514116430513
2023-01-13,A,0.6563295894652734
2023-01-14,D,0.1381829513486138
2023-01-15,C,0.1965823616800535
2023-01-16,A,0.3687251706609641
2023-01-17,A,0.8209932298479351
2023-01-18,A,0.09710127579306127
2023-01-19,C,0.8379449074988039
2023-01-20,B,0.09609840789396307
2023-01-21,C,0.9764594650133958
2023-01-22,D,0.4686512016477016
2023-01-23,D,0.9767610881903371
2023-01-24,C,0.604845519745046
2023-01-25,A,0.7392635793983017
2023-01-26,B,0.039187792254320675
2023-01-27,B,0.2828069625764096
2023-01-28,B,0.1201965612131689
2023-01-29,B,0.29614019752214493
2023-01-30,A,0.11872771895424405
2023-01-31,B,0.317983179393976
2023-02-01,A,0.41426299451466997
2023-02-02,D,0.06414749634878436
2023-02-03,A,0.6924721193700198
2023-02-04,D,0.5666014542065752
2023-02-05,B,0.2653894909394454
2023-02-06,C,0.5232480534666997
2023-02-07,D,0.09394051075844168
2023-02-08,D,0.5759464955561793
2023-02-09,A,0.9292961975762141
2023-02-10,C,0.31856895245132366
2023-02-11,D,0.6674103799636817
2023-02-12,A,0.13179786240439217
2023-02-13,B,0.7163272041185655
2023-02-14,D,0.2894060929472011
2023-02-15,B,0.18319136200711683
2023-02-16,D,0.5865129348100832
2023-02-17,D,0.020107546187493552
2023-02-18,C,0.8289400292173631
2023-02-19,D,0.004695476192547066
2023-02-20,A,0.6778165367962301
2023-02-21,B,0.27000797319216485
2023-02-22,B,0.7351940221225949
2023-02-23,B,0.9621885451174382
2023-02-24,D,0.24875314351995803
2023-02-25,A,0.5761573344178369
2023-02-26,D,0.592041931271839
2023-02-27,C,0.5722519057908734
2023-02-28,A,0.2230816326406183
2023-03-01,D,0.952749011516985
2023-03-02,D,0.44712537861762736
2023-03-03,C,0.8464086724711278
2023-03-04,D,0.6994792753175043
2023-03-05,C,0.29743695085513366
2023-03-06,D,0.8137978197024772
2023-03-07,A,0.39650574084698464
2023-03-08,C,0.8811031971111616
2023-03-09,A,0.5812728726358587
2023-03-10,A,0.8817353618548528
2023-03-11,A,0.6925315900777659
2023-03-12,B,0.7252542798196405
2023-03-13,B,0.5013243819267023
2023-03-14,C,0.9560836347232239
2023-03-15,A,0.6439901992296374
2023-03-16,A,0.4238550485581797
2023-03-17,B,0.6063932141279244
2023-03-18,D,0.019193198309333526
2023-03-19,A,0.30157481667454933
2023-03-20,B,0.660173537492685
2023-03-21,C,0.29007760721044407
2023-03-22,C,0.6180154289988415
2023-03-23,D,0.42876870094576613
2023-03-24,A,0.13547406422245023
2023-03-25,B,0.29828232595603077
2023-03-26,B,0.5699649107012649
2023-03-27,D,0.5908727612481732
2023-03-28,B,0.5743252488495788
2023-03-29,B,0.6532008198571336
2023-03-30,D,0.6521032700016889
2023-03-31,C,0.43141843543397396
2023-04-01,D,0.896546595851063
2023-04-02,D,0.36756187004789653
2023-04-03,C,0.4358649252656268
2023-04-04,C,0.8919233550156721
2023-04-05,D,0.8061939890460857
2023-04-06,A,0.7038885835403663
2023-04-07,C,0.10022688731230112
2023-04-08,D,0.9194826137446735
2023-04-09,B,0.7142412995491114
2023-04-10,A,0.9988470065678665
